Family,Species,Author,Info,Occurrence,Common names,Abundance,Max length,Maturity,Remark,Photo
Antennariidae,Abantennarius analis,"Schultz, 1957",M,native ,"Tailjet anglerfish (English), Tail-jet frogfish (English) ",,7.80 cm SL male/unsexed ,,"Known from Rowley Shoals, Western Australia (Ref. 7300). Also reported from the territory of Ashmore and Cartier Islands (Ref. 75154). ",+ 
Antennariidae,Abantennarius coccineus,"(Lesson, 1831)",M,native ,"Freckled anglerfish (English), Scarlet frogfish (English) ",,13.00 cm TL male/unsexed ,,"Known from North West Cape, Western Australia to Sydney, New South Wales (Ref. 7300); including Lord Howe (Ref. 2334, 75154). Also Ref. 33390. Also found in Queensland (Ref. 90102). ",+ 
Antennariidae,Abantennarius dorehensis,"(Bleeker, 1859)",M,native ,"New Guinean anglerfish (English), New Guinean frogfish (English) ",,14.00 cm TL male/unsexed ,,"Known from Rowley Shoals, W.A. (Ref. 7300). Also reported from the territory of Ashmore and Cartier Islands (Ref. 75154). ",+ 
Antennariidae,Abantennarius nummifer,"(Cuvier, 1817)",M,native ,"Spotfin anglerfish (English), Big-spot angler (English), Coin-bearing frogfish (English), Ocellated angler (English), Ocellated anglerfish (English), White-finger anglerfish (English) ",,13.00 cm TL male/unsexed ,,"Known from Rottnest Is., W.A. to Jervis Bay, N.S.W. including Northern Territory and Queensland (Ref. 7300). Also reported from the Lord Howe Island (Ref. 75154). Also Ref. 2334, 33390. Also found in New South Wales (Ref. 90102). ",+ 
Antennariidae,Abantennarius rosaceus,"(Smith & Radcliffe, 1912)",M,native ,"Rosy anglerfish (English), Rosy frogfish (English) ",,5.80 cm SL male/unsexed ,,"Known from Dillon Shoals, W.A., based on specimens at WAM (Ref. 7300). Also reported from the territory of Ashmore and Cartier Islands (Ref. 75154). Museum: Lord Howe I., AMS I.5399 (Ref. 6773). ",+ 
Belonidae,Ablennes hians,"(Valenciennes, 1846)",M,native ,"Barred longtom (English), Barred needle fish (English), Flat needlefish (English), Longtom (English) ",,140 cm TL male/unsexed ,,Ranges south to Western Australia at 32°07'S and New South Wales at 34°25'S (Ref. 33390).  ,+ 
Pomacentridae,Abudefduf bengalensis,"(Bloch, 1787)",M,native ,"Bengal sergeant (English), Bengal sergeant-major (English), Narrow-banded sergeant major (English), Palmer's damsel-fish (English) ",,17.00 cm TL male/unsexed ,,Occurs in northwest and northeast Australia (Ref. 9710). Reported from Lord Howe Island (Ref. 75154). Also Ref. 4966. ,+ 
Pomacentridae,Abudefduf septemfasciatus,"(Cuvier, 1830)",M,native ,"Banded sergeant (English), Narrow-banded sergeant-major (English) ",,23.00 cm TL male/unsexed ,,"Reported from the Territory of Ashmore and Cartier Islands (Ref. 75154). Also Ref. 1602, 2334. Known from north-eastern Queensland (Ref. 90102). ",+ 
Pomacentridae,Abudefduf sexfasciatus,"(Lacepède, 1801)",M,native ,"Scissortail sergeant (English), Six-banded sergeant-major (English), Stripe-tailed damsel-fish (English) ",,19.00 cm TL male/unsexed ,,"Reported from the Territory of Ashmore, Cartier Islands (Ref. 75154), Shark Bay, Western Australia (Redf. 115274). Including Lord Howe I. (Ref. 8879, 75154). Also Ref. 2334, 9002. ",+ 
Pomacentridae,Abudefduf sordidus,"(Forsskål, 1775)",M,native ,"Blackspot sergeant (English), Blackspot sergeant major (English), Yellow-banded sergeant-major (English) ",,24.00 cm TL male/unsexed ,,"Reported from the Territory of Ashmore and Cartier Islands (Ref. 75154). Including Lord Howe I. (Ref. 8879, 75154). Also Ref. 2334, 9002. ",+ 
Pomacentridae,Abudefduf vaigiensis,"(Quoy & Gaimard, 1825)",M,native ,"Indo-pacific sergeant (English), Common sergeant (English), Five-banded damsel-fish (English), Five-banded sergeant-major (English), Sergeant major (English) ",,20.00 cm TL male/unsexed ,,"Reported from the Territory of Ashmore and Cartier Islands (Ref. 75154), off Lord Howe I. (Ref. 8879, 75154), New South Wales and northern Victoria (Ref. 35942). Also Ref. 2334, 9002. ",+ 
Pomacentridae,Abudefduf whitleyi,"Allen & Robertson, 1974",M,native ,"Whitle's sergeant (English), Whitley's seargent (English) ",,14.00 cm SL male/unsexed ,,"Ranges from Queensland (Great Barrier Reef) to central New South Wales (Ref. 9002). Also Lord Howe I. (Ref. 8879, 75154). Also Ref. 2334. ",+ 
Monacanthidae,Acanthaluteres brownii,"(Richardson, 1846)",M,endemic ,Spiny-tailed leatherjacket (English) ,,55.00 cm TL male/unsexed ,,"Known only from limital area. Kangaroo Island, Southern Australia to Rottnest Island, Western Australia (Ref. 75154). Also Ref. 9563. ",+ 
Anthiadidae,Acanthistius cinctus,"(Günther, 1859)",M,native ,"Yellowbanded wirrah (English), Girdled rock cod (English) ",,50.00 cm TL male/unsexed ,,"Known from Arrawarra to Seal Rocks, New South Wales (Ref. 7300); also Lord Howe I. (Ref. 8879). ",+ 
Anthiadidae,Acanthistius ocellatus,"(Günther, 1859)",M,native ,"Eastern wirrah (English), Boot (English), Meat wirrah (English), Mother-in-law fish (English), Peppermint cod (English), Wirrah (English), Wirrah cod (English) ",,45.00 cm TL male/unsexed ,,"Known from south Queensland to east Victoria and Wynyard, Tasmania; also known from Lord Howe Is. (Ref. 7300). ",+ 
Anthiadidae,Acanthistius pardalotus,"Hutchins, 1981",M,endemic ,"Leopard wirrah (English), Leopard perch (English) ",,37.00 cm SL male/unsexed ,,"Known from Port Quobba to Prevelly Park, Western Australia (Refs. 7300, 127767). Recorded from Shark Bay (Ref. 115274). ",- 
Anthiadidae,Acanthistius paxtoni,"Hutchins & Kuiter, 1982",M,endemic ,"Orangelined wirrah (English), Striated wirrah (English) ",,25.80 cm SL male/unsexed ,,"Known from Seal Rocks and Sydney Harbour, New South Wales (Ref. 7300). ",- 
Anthiadidae,Acanthistius serratus,"(Cuvier, 1828)",M,endemic ,Western wirrah (English) ,,50.00 cm TL male/unsexed ,,"Known from Kalbarri, Western Australia to Ceduna, South Australia (Ref. 7300). Recorded from Shark Bay (Ref. 115274). Recorded from Tasmania waters (Ref. 056051). ",+ 
Pomacentridae,Acanthochromis polyacanthus,"(Bleeker, 1855)",M,native ,"Spiny puller (English), Spiny chromis (English), Spiny-tail puller (English), Spotty-tail (English) ",,14.00 cm TL male/unsexed ,,Reported from the Territory of Ashmore and Cartier Islands (Ref. 75154). Also Ref. 2334. ,+ 
Sparidae,Acanthopagrus palmaris,"(Whitley, 1935)","Br, M",endemic ,"Northwest black bream (English), Hump-headed bream (English), North west black bream (English) ",,40.00 cm TL male/unsexed ,,Known from Shark bay (Western Australia) to the Gulf of Carpentaria (Queensland) (Ref. 44894). ,- 
Acanthuridae,Acanthurus albipectoralis,"Allen & Ayling, 1987",M,native ,"Whitefin surgeonfish (English), White-fin surgeon (English) ",,33.00 cm TL male/unsexed ,,Known from the Great Barrier Reef and the reefs of the Coral Sea (Ref. 2334). ,+ 
Acanthuridae,Acanthurus auranticavus,"Randall, 1956",M,native ,"Orange-socket surgeonfish (English), Ringtail surgeonfish (English), Ring-tail surgeon (English) ",,45.00 cm SL male/unsexed ,,Also Ref. 37792. ,+ 
Acanthuridae,Acanthurus bariene,"Lesson, 1831",M,native ,"Eyespot surgeonfish (English), Roundspot surgeonfish (English), Eye-spot surgeon (English), Eye-spot surgeonfish (English) ",,50.00 cm TL male/unsexed ,,Also Ref. 37792. ,+ 
Acanthuridae,Acanthurus blochii,"Valenciennes, 1835",M,native ,"Dark surgeonfish (English), Ringtail surgeonfish (English), Dark surgeon (English) ",,45.00 cm SL male/unsexed ,,,+ 
Acanthuridae,Acanthurus dussumieri,"Valenciennes, 1835",M,native ,"Pencil surgeonfish (English), Dussumier's surgeonfish (English), Eyestripe surgeonfish (English), Ornate surgeonfish (English), Pencilled surgeon (English), Pencilled surgeonfish (English) ",,54.00 cm TL male/unsexed ,,"Also Ref. 1602, 37792. ",+ 
Acanthuridae,Acanthurus fowleri,"de Beaufort, 1951",M,native ,"Horseshoe surgeonfish (English), Horse-shoe surgeon (English) ",,45.00 cm SL male/unsexed ,,"Occurrence in the country is based on a photograph by J.E. Randall taken in Scott Reef, off northwestern Australia (Ref. 37792). ",+ 
Acanthuridae,Acanthurus grammoptilus,"Richardson, 1843",M,native ,"Finelined surgeonfish (English), Inshore surgeon (English), Inshore surgeonfish (English), Northwest surgeonfish (English), Ring-tailed surgeonfish (English) ",,35.60 cm FL male/unsexed ,,"Museum: CSIRO CA1410, from North West Cape to Darwin (Ref. 5978). Northwestern range extends to Abrolhos (Ref. 3132). Recorded from Shark Bay (Ref. 115274). Also Ref. 37792. ",+ 
Acanthuridae,Acanthurus guttatus,"Forster, 1801",M,native ,"Whitespotted surgeonfish (English), Spotband surgeonfish (English), White-spotted surgeon (English), White-spotted surgeonfish (English) ",,26.00 cm TL male/unsexed ,,Known from the Great Barrier Reef and the Coral Sea.  ,+ 
Acanthuridae,Acanthurus lineatus,"(Linnaeus, 1758)",M,native ,"Bluelined surgeonfish (English), Striped surgeon (English), Blue-lined surgeonfish (English), Lined surgeon (English), Striped surgeonfish (English), Striped tang (English), Zebra surgeonfish (English) ",,38.00 cm TL male/unsexed ,,Known from the Great Barrier Reef and the Coral Sea.  ,+ 
Acanthuridae,Acanthurus maculiceps,"(Ahl, 1923)",M,native ,"Spotted-face surgeonfish (English), Earbar surgeonfish (English), Spot-face surgeon (English) ",,40.00 cm SL male/unsexed ,,Also Ref. 37792. ,+ 
Acanthuridae,Acanthurus mata,"(Cuvier, 1829)",M,native ,"Elongate surgeonfish (English), Pale surgeon (English), Pale surgeonfish (English), Yellowmask surgeonfish (English) ",,50.00 cm TL male/unsexed ,,,+ 
Acanthuridae,Acanthurus nigricans,"(Linnaeus, 1758)",M,native ,"Velvet surgeonfish (English), Whitecheek surgeonfish (English), Goldrim surgeonfish (English), Velvet surgeon (English), White-cheeked surgeonfish (English), Yellow-banded surgeonfish (English), Yellowrimmed surgeonfish (English) ",,36.00 cm FL male/unsexed ,,Also Ref. 37792. ,+ 
Acanthuridae,Acanthurus nigricauda,"Duncker & Mohr, 1929",M,native ,"Blackstreak surgeonfish (English), Epaulette surgeonfish (English), Eye-line surgeon (English), Eye-line surgeonfish (English), Eyeline surgeonfish (English) ",,45.30 cm FL male/unsexed ,,"Also Ref. 1602, 37792. ",+ 
Acanthuridae,Acanthurus nigrofuscus,"(Forsskål, 1775)",M,native ,"Brown surgeonfish (English), Dusky surgeon (English), Dusky surgeonfish (English) ",,21.00 cm TL male/unsexed ,10.5 FL ,Known from the Great Barrier Reef and the Coral Sea; also possibly in Lord Howe Island.  ,+ 
Acanthuridae,Acanthurus nigroris,"Valenciennes, 1835",M,native ,"Bluelined surgeonfish (English), Grey-head surgeonfish (English), Greyhead surgeonfish (English) ",,25.00 cm TL male/unsexed ,,Rare on the Great Barrier Reef (Ref. 2334). Also Ref. 37792. ,+ 
Acanthuridae,Acanthurus olivaceus,"Bloch & Schneider, 1801",M,native ,"Orangeband surgeonfish (English), Orangeblotch surgeonfish (English), Orange-blotch surgeon (English), Orange-blotch surgeonfish (English), Orange-spot surgeon-fish (English), Orange-spot surgeonfish (English), Orangebar surgeonfish (English), Orangespot surgeon-fish (English) ",,35.00 cm TL male/unsexed ,,"Recorded from Shark Bay (Ref. 115274). Including Lord Howe Island (Ref. 9710). Also Ref. 1602, 37792, 41630. ",+ 
Acanthuridae,Acanthurus pyroferus,"Kittlitz, 1834",M,native ,"Mimic surgeonfish (English), Mimic surgeon (English), Orange-gilled surgeonfish (English), Pacific mimic surgeon (English) ",,29.00 cm TL male/unsexed ,,,+ 
Acanthuridae,Acanthurus thompsoni,"(Fowler, 1923)",M,native ,"Night surgeonfish (English), Thompson's surgeonfish (English) ",,27.00 cm TL male/unsexed ,,,+ 
Acanthuridae,Acanthurus triostegus,"(Linnaeus, 1758)",M,native ,"Convict surgeonfish (English), Convict surgeon (English), Convict surgeon-fish (English), Five-banded surgeon-fish (English) ",,27.00 cm TL male/unsexed ,,Occurs in Western Australia south of Rottnest Island (Ref. 37792); also known from Lord Howe Island (Ref. 1602) and Shark Bay (Ref. 115274).. Also Ref. 1920. ,+ 
Acanthuridae,Acanthurus xanthopterus,"Valenciennes, 1835",M,native ,"Yellowfin surgeonfish (English), Yellowmask surgeonfish (English), Ring-tailed surgeonfish (English), Yellow-mask surgeon (English), Yellow-masked surgeon (English) ",,70.00 cm TL male/unsexed ,,"Reported from Rowley Shoals and Scott Reef, Western Australia (Ref. 37792). Also Ref. 38544. ",+ 
Bythitidae,Acarobythites larsonae,"Machida, 2000",M,native ,Larson's cusk (English) ,,2.52 cm SL male/unsexed ,,"Known only from the type locality, Field Island and Cobourg Peninsula, western Arnhem Land, Northern Territory (Ref. 40785). ",- 
Gobiidae,Acentrogobius janthinopterus,"(Bleeker, 1853)","Br, M",native ,Robust mangrove goby (English) ,,12.50 cm TL male/unsexed ,,"Known from the Northern Territory (N coast) and Queensland (GBR); from Melville Island, NT and Lizard Island to Yule Point, QLD (Ref. 75154). Reported in Western Australia (Ref. 49596) . ",+ 
