fish_table_id,anem_table_id,fish_obs_time,fish_spp,size,color,sex,fin_id,sample_id,tag_id,recap,fish_collector,fish_correction,fish_corr_date,fish_corr_editor,fish_corr_message,fish_notes
7683,7385,NA,APCL,3.5,YR,J,337,APCL16_337,NA,NA,MRS,Y,2017-08-14,MRS,This sample_id was missing from the original excel spreadsheet but was written on the datasheet at 12:02 on dive 34 on 5/29/16.  Added to database in 2017.,NA
487,399,NA,APCL,3.5,W,J,236,APCL12_236,NA,NA,MLP,NA,NA,NA,NA,NA
31,15,NA,APCL,3.1,NA,NA,19,APCL12_019,NA,NA,MLP,NA,NA,NA,NA,NA
2510,2130,NA,APCL,5.5,Y,J,245,APCL14_245,NA,NA,MRS,NA,NA,NA,NA,NA
6057,6473,NA,APCL,3.5,W,J,49,APCL15_049,NA,NA,MRS,NA,NA,NA,NA,NA
1667,1526,NA,APCL,3.4,WP,J,611,APCL13_611,NA,NA,MLP,NA,NA,NA,NA,NA
2705,2235,NA,APCL,4.8,WR,J,363,APCL14_363,NA,NA,MRS,NA,NA,NA,NA,NA
2833,2389,NA,APCL,8.8,YP,F,330,APCL14_330,NA,NA,MRS,NA,NA,NA,NA,NA
965,860,NA,APCL,4,W,J,199,APCL13_199,NA,NA,MLP,NA,NA,NA,NA,NA
2961,2501,NA,APCL,4.1,YR,J,465,APCL14_465,NA,NA,MRS,NA,NA,NA,NA,NA
1644,1501,NA,APCL,9.7,YP,F,595,APCL13_595,NA,NA,MLP,NA,NA,NA,NA,NA
1900,1780,NA,APCL,10.1,O,M,33,APCL14_033,NA,NA,MLP,NA,NA,NA,NA,"oldAnemID written as 78 on datasheet, but 78 was seen in a later dive. This one was close to 76."
1805,1736,NA,APCL,4.6,W,J,12,APCL14_012,NA,NA,MLP,NA,NA,NA,NA,anemone is 280<cb>? from 3.5m in Fixed transect 2
2127,1895,NA,APCL,6.6,W,J,118,APCL14_118,NA,NA,MRS,NA,NA,NA,NA,NA
273,248,NA,APCL,7.5,O,M,121,APCL12_121,NA,NA,MLP,NA,NA,NA,NA,Orange-edged tail
2303,1994,NA,APCL,4.2,WR,J,161,APCL14_161,NA,NA,MRS,NA,NA,NA,NA,"Pair looked like they were courting, no extract, this is part of that contaminated sample group"
2311,1997,NA,APCL,3.9,YR,J,164,APCL14_164,NA,NA,MRS,NA,NA,NA,NA,no extract because extract believed to be contaminated
157,93,NA,APCL,4.7,NA,NA,80,APCL12_080,NA,NA,MLP,NA,NA,NA,NA,NA
1798,1732,NA,APCL,3.9,YR,J,10,APCL14_010,NA,NA,MLP,NA,NA,NA,NA,NA
3089,2577,NA,APCL,9.7,O,M,518,APCL14_518,NA,NA,MRS,NA,NA,NA,NA,NA
2983,2514,NA,APCL,8.4,YP,F,472,APCL14_472,NA,NA,MRS,NA,NA,NA,NA,"AND ALSO A SNAKE, I THINK (actually a goatfish)"
3081,2573,NA,APCL,4.2,YR,J,517,APCL14_517,NA,NA,MRS,NA,NA,NA,NA,NA
3079,2572,NA,APCL,8.2,YP,F,515,APCL14_515,NA,NA,MRS,NA,NA,NA,NA,NA
1807,1737,NA,APCL,3.7,YR,J,13,APCL14_013,NA,NA,MLP,NA,NA,NA,NA,NA
1814,1739,NA,APCL,3.6,YR,J,16,APCL14_016,NA,NA,MLP,NA,NA,NA,NA,NA
456,381,NA,APCL,4.8,Y,J,229,APCL12_229,NA,NA,MLP,NA,NA,NA,NA,NA
3143,2613,NA,APCL,5.2,Y,J,537,APCL14_537,NA,NA,MRS,NA,NA,NA,NA,NA
1600,1478,NA,APCL,9.4,O,M,568,APCL13_568,NA,NA,MLP,NA,NA,NA,NA,NA
1101,981,NA,APCL,3,BW,J,281,APCL13_281,NA,NA,MLP,NA,NA,NA,NA,NA
1624,1491,NA,APCL,3.6,YR,J,585,APCL13_585,NA,NA,MLP,NA,NA,NA,NA,NA
1662,1513,NA,APCL,3.3,YR,J,607,APCL13_607,NA,NA,MLP,NA,NA,NA,NA,NA
1664,1517,NA,APCL,3.3,BW,J,608,APCL13_608,NA,NA,MLP,NA,NA,NA,NA,NA
1665,1524,NA,APCL,4.2,W,J,609,APCL13_609,NA,NA,MLP,NA,NA,NA,NA,seem to be on outer reef edge here
1691,1573,NA,APCL,2.5,BW,J,627,APCL13_627,NA,NA,MLP,NA,NA,NA,NA,NA
1716,1599,NA,APCL,2.6,YR,J,645,APCL13_645,NA,NA,MLP,NA,NA,NA,NA,NA
1221,1213,NA,APCL,7.4,O,M,339,APCL13_339,NA,NA,MLP,NA,NA,NA,NA,NA
27,13,NA,APCL,9.8,NA,NA,17,APCL12_017,NA,NA,MLP,NA,NA,NA,NA,NA
1758,1697,NA,APCL,4,W,J,663,APCL13_663,NA,NA,MLP,NA,NA,NA,NA,NA
1759,1698,NA,APCL,3,W,J,664,APCL13_664,NA,NA,MLP,NA,NA,NA,NA,NA
438,369,NA,APCL,3.6,Y,J,222,APCL12_222,NA,NA,MLP,NA,NA,NA,NA,"Tail on #225 was all orange, not just the edges (though base was white)"
440,369,NA,APCL,9.9,O,M,225,APCL12_225,NA,NA,MLP,NA,NA,NA,NA,"Tail on #225 was all orange, not just the edges (though base was white)"
442,371,NA,APCL,9.3,O,M,228,APCL12_228,NA,NA,MLP,NA,NA,NA,NA,NA
446,373,NA,APCL,6.4,Y,J,226,APCL12_226,NA,NA,MLP,NA,NA,NA,NA,NA
3077,2570,NA,APCL,4.1,W,J,514,APCL14_514,NA,NA,MRS,NA,NA,NA,NA,NA
448,375,NA,APCL,7.7,O,M,227,APCL12_227,NA,NA,MLP,NA,NA,NA,NA,NA
457,381,NA,APCL,8.3,O,M,230,APCL12_230,NA,NA,MLP,NA,NA,NA,NA,NA
1069,931,NA,APCL,3.7,YR,J,272,APCL13_272,NA,NA,MLP,NA,NA,NA,NA,NA
1349,1319,NA,APCL,4.4,YR,J,417,APCL13_417,NA,NA,MLP,NA,NA,NA,NA,NA
467,386,NA,APCL,9.6,O,M,233,APCL12_233,NA,NA,MLP,NA,NA,NA,NA,NA
469,387,NA,APCL,5.3,Y,J,234,APCL12_234,NA,NA,MLP,NA,NA,NA,NA,NA
1381,1348,NA,APPE,8.9,NA,NA,431,APCL13_431,NA,NA,MLP,NA,NA,NA,NA,Probably female because large
2298,1993,NA,APCL,8.9,YP,F,157,APCL14_157,NA,NA,MRS,NA,NA,NA,NA,"no extract, this is part of that contaminated sample group"
488,400,NA,APCL,4.2,Y,J,237,APCL12_237,NA,NA,MLP,NA,NA,NA,NA,NA
489,401,NA,APCL,8.6,O,M,238,APCL12_238,NA,NA,MLP,NA,NA,NA,NA,NA
511,423,NA,APCL,4.5,Y,J,248,APCL12_248,NA,NA,MLP,NA,NA,NA,NA,NA
441,370,NA,APCL,9.2,O,M,224,APCL12_224,NA,NA,MLP,NA,NA,NA,NA,NA
439,369,NA,APCL,5.6,Y,J,223,APCL12_223,NA,NA,MLP,NA,NA,NA,NA,"Tail on #225 was all orange, not just the edges (though base was white)"
1689,1571,NA,APCL,2.8,YR,J,625,APCL13_625,NA,NA,MLP,NA,NA,NA,NA,NA
1687,1570,NA,APCL,2.7,YR,J,623,APCL13_623,NA,NA,MLP,NA,NA,NA,NA,NA
26,13,NA,APCL,8.9,NA,NA,1,APCL12_001,NA,NA,MLP,NA,NA,NA,NA,NA
8199,7942,NA,APCL,4.8,YR,J,703,APCL16_703,NA,N,MRS,NA,NA,NA,NA,NA
152,90,NA,APCL,5.3,NA,NA,65,APCL12_065,NA,NA,MLP,NA,NA,NA,NA,NA
3140,2610,NA,APCL,4.5,Y,J,535,APCL14_535,NA,NA,MRS,NA,NA,NA,NA,NA
3111,2587,NA,APCL,8.5,YP,F,526,APCL14_526,NA,NA,MRS,NA,NA,NA,NA,NA
3124,2595,NA,APCL,6.4,Y,J,530,APCL14_530,NA,NA,MRS,NA,NA,NA,NA,NA
3101,2584,NA,APCL,3.8,YR,J,522,APCL14_522,NA,NA,MRS,NA,NA,NA,NA,NA
3070,2566,NA,APCL,4.4,W,J,510,APCL14_510,NA,NA,MRS,NA,NA,NA,NA,NA
3057,2553,NA,APCL,4.2,YR,J,506,APCL14_506,NA,NA,MRS,NA,NA,NA,NA,NA
3045,2547,NA,APCL,5.6,Y,J,501,APCL14_501,NA,NA,MRS,NA,NA,NA,NA,NA
3037,2542,NA,APCL,4.8,W,J,495,APCL14_495,NA,NA,MRS,NA,NA,NA,NA,NA
3033,2540,NA,APCL,8.6,YP,F,494,APCL14_494,NA,NA,MRS,NA,NA,NA,NA,no tube exists for this sample
3029,2534,NA,APCL,8.2,O,M,491,APCL14_491,NA,NA,MRS,NA,NA,NA,NA,NA
47,25,NA,APCL,9.1,NA,NA,14,APCL12_014,NA,NA,MLP,NA,NA,NA,NA,"#6 and #8 may be swapped. Not sure if I misread the number. However, size of fin clips suggest this is #8."
3001,2517,NA,APCL,4.7,Y,J,482,APCL14_482,NA,NA,MRS,NA,NA,NA,NA,NA
2989,2514,NA,APCL,8.2,YP,F,478,APCL14_478,NA,NA,MRS,NA,NA,NA,NA,"AND ALSO A SNAKE, I THINK (actually a goatfish)"
2981,2513,NA,APCL,8.5,YP,F,469,APCL14_469,NA,NA,MRS,NA,NA,NA,NA,NA
8001,7768,NA,APCL,4.3,YR,J,556,APCL16_556,NA,N,MRS,NA,NA,NA,NA,NA
7993,7763,NA,APCL,3.5,YR,J,552,APCL16_552,NA,N,MRS,NA,NA,NA,NA,NA
7938,7714,NA,APCL,4.4,W,J,511,APCL16_511,NA,NA,MRS,NA,NA,NA,NA,NA
993,875,NA,APCL,8.8,YP,F,218,APCL13_218,NA,NA,MLP,NA,NA,NA,NA,NA
988,872,NA,APCL,2.8,YR,J,215,APCL13_215,NA,NA,MLP,NA,NA,NA,NA,NA
7873,7679,NA,APCL,4.6,YR,J,467,APCL16_467,NA,N,MRS,NA,NA,NA,NA,Fish 466 squirted eggs when PIT tag was inserted
980,867,NA,APCL,8.4,O,M,216,APCL13_216,NA,NA,MLP,NA,NA,NA,NA,NA
978,867,NA,APCL,8.7,YP,F,207,APCL13_207,NA,NA,MLP,NA,NA,NA,NA,NA
122,73,NA,APCL,9.2,NA,NA,54,APCL12_054,NA,NA,MLP,NA,NA,NA,NA,NA
976,865,NA,APCL,10.2,O,M,206,APCL13_206,NA,NA,MLP,NA,NA,NA,NA,NA
7793,7576,NA,APCL,4.9,YR,J,426,APCL16_426,NA,N,MRS,NA,NA,NA,NA,NA
2865,2412,NA,APCL,5.1,W,J,348,APCL14_348,NA,NA,MRS,NA,NA,NA,NA,NA
2857,2407,NA,APCL,4.5,W,J,343,APCL14_343,NA,NA,MRS,NA,NA,NA,NA,NA
7746,7450,NA,APCL,4.8,W,J,387,APCL16_387,NA,N,MRS,NA,NA,NA,NA,NA
7761,7491,NA,APCL,3.7,YR,J,400,APCL16_400,NA,N,MRS,NA,NA,NA,NA,NA
7737,7437,NA,APCL,3.8,YR,J,379,APCL16_379,NA,N,MRS,NA,NA,NA,NA,NA
954,853,NA,APCL,3.3,W,J,191,APCL13_191,NA,NA,MLP,NA,NA,NA,NA,191 sample is two small tail pieces
2765,2338,NA,APCL,4,Y,J,392,APCL14_392,NA,NA,MRS,NA,NA,NA,NA,"oldAnemID is hard to read on datasheet (1X6). Based on location, must be 176."
947,847,NA,APCL,3.2,W,J,183,APCL13_183,NA,NA,MLP,NA,NA,NA,NA,NA
941,843,NA,APCL,8.9,O,M,178,APCL13_178,NA,NA,MLP,NA,NA,NA,NA,NA
2733,2256,NA,APCL,4.1,Y,J,378,APCL14_378,NA,NA,MRS,NA,NA,NA,NA,NA
939,841,NA,APCL,10.3,O,M,176,APCL13_176,NA,NA,MLP,NA,NA,NA,NA,NA
2717,2245,NA,APCL,7.5,O,M,369,APCL14_369,NA,NA,MRS,NA,NA,NA,NA,NA
7489,7213,NA,APCL,4,YR,J,232,APCL16_232,NA,N,MRS,NA,NA,NA,NA,NA
2713,2243,NA,APCL,3.6,W,J,367,APCL14_367,NA,NA,MRS,NA,NA,NA,NA,NA
2701,2233,NA,APCL,4.7,Y,J,361,APCL14_361,NA,NA,MRS,NA,NA,NA,NA,NA
2693,2225,NA,APCL,4.2,Y,J,358,APCL14_358,NA,NA,MRS,NA,NA,NA,NA,NA
7409,7149,NA,APCL,3.5,YR,J,206,APCL16_206,NA,N,MLP,NA,NA,NA,NA,NA
2625,2185,NA,APCL,3.6,Y,J,301,APCL14_301,NA,NA,MRS,NA,NA,NA,NA,no extract because frozen in water instead of ethanol
2573,2159,NA,APCL,5.4,Y,J,270,APCL14_270,NA,NA,MRS,NA,NA,NA,NA,NA
7193,7018,NA,APCL,3.6,YR,J,124,APCL16_124,NA,N,MRS,NA,NA,NA,NA,NA
888,808,NA,APCL,3.2,W,J,143,APCL13_143,NA,NA,MLP,NA,NA,NA,NA,NA
7017,6914,NA,APCL,4.4,YR,J,78,APCL16_078,NA,NA,MRS,NA,NA,NA,NA,NA
2461,2094,NA,APCL,4.4,W,J,215,APCL14_215,NA,NA,MRS,NA,NA,NA,NA,NA
2457,2081,NA,APCL,4,YR,J,213,APCL14_213,NA,NA,MRS,NA,NA,NA,NA,NA
870,796,NA,APCL,10.6,O,M,137,APCL13_137,NA,NA,MLP,NA,NA,NA,NA,"136 has very pointed tail, has streamers."
6638,6761,NA,APCL,5.1,YR,J,154,APCL15_154,NA,NA,MRS,NA,NA,NA,NA,NA
407,347,NA,APCL,4.5,Y,J,202,APCL12_202,NA,NA,MLP,NA,NA,NA,NA,NA
686,688,NA,APCL,2.9,YR,J,36,APCL13_036,NA,NA,MLP,NA,NA,NA,NA,NA
684,686,NA,APCL,3.4,W,J,38,APCL13_038,NA,NA,MLP,NA,NA,NA,NA,NA
1879,1770,NA,APCL,3.5,W,J,30,APCL14_030,NA,NA,MLP,NA,NA,NA,NA,"no extract, X through tube"
403,344,NA,APCL,7.4,O,M,198,APCL12_198,NA,NA,MLP,NA,NA,NA,NA,NA
680,683,NA,APCL,3.1,YR,J,34,APCL13_034,NA,NA,MLP,NA,NA,NA,NA,NA
29,15,NA,APCL,8.2,NA,NA,13,APCL12_013,NA,NA,MLP,NA,NA,NA,NA,NA
676,680,NA,APCL,3.7,YR,J,32,APCL13_032,NA,NA,MLP,NA,NA,NA,NA,NA
25,13,NA,APCL,8.6,NA,NA,18,APCL12_018,NA,NA,MLP,NA,NA,NA,NA,NA
674,679,NA,APCL,6.8,YR,J,30,APCL13_030,NA,NA,MLP,NA,NA,NA,NA,NA
670,677,NA,APCL,3.5,Y,J,26,APCL13_026,NA,NA,MLP,NA,NA,NA,NA,NA
791,752,NA,APCL,4.2,YR,J,99,APCL13_099,NA,NA,MLP,NA,NA,NA,NA,Changed Col from number 0 to letter O (MRS 7/17/17)
3167,2629,NA,APCL,8.4,O,M,545,APCL14_545,NA,NA,MRS,NA,NA,NA,NA,NA
662,672,NA,APCL,11.2,O,M,24,APCL13_024,NA,NA,MLP,NA,NA,NA,NA,no EtOH in vial
1061,926,NA,APCL,3.2,YR,J,266,APCL13_266,NA,NA,MLP,NA,NA,NA,NA,NA
3150,2617,NA,APCL,7.1,O,M,539,APCL14_539,NA,NA,MRS,NA,NA,NA,NA,NA
49,25,NA,APCL,9.7,NA,NA,16,APCL12_016,NA,NA,MLP,NA,NA,NA,NA,"#6 and #8 may be swapped. Not sure if I misread the number. However, size of fin clips suggest this is #8."
2109,1888,NA,APCL,3.5,YR,J,116,APCL14_116,NA,NA,MRS,NA,NA,NA,NA,NA
3146,2614,NA,APCL,7.5,O,M,538,APCL14_538,NA,NA,MRS,NA,NA,NA,NA,NA
783,749,NA,APCL,5.2,YR,J,96,APCL13_096,NA,NA,MLP,NA,NA,NA,NA,NA
3142,2612,NA,APCL,4.5,YR,J,536,APCL14_536,NA,NA,MRS,NA,NA,NA,NA,NA
