"species","year","latitude","longitude"
"Amphiprion percula",NA,-16.5,-151.75
"Amphiprion percula",NA,-16.5,-151.75
"Amphiprion percula",NA,12.5,92.75
"Amphiprion percula",1962,1.17,103.18
"Amphiprion percula",1963,1.35,103.68
"Amphiprion percula",NA,4.67,119.4
"Amphiprion percula",NA,0,120
"Amphiprion percula",2006,25.05,121.55
"Amphiprion percula",2006,25.05,121.55
"Amphiprion percula",2006,25.05,121.55
"Amphiprion percula",1985,9.42,123.33
"Amphiprion percula",NA,9.42,123.33
"Amphiprion percula",1957,12,124
"Amphiprion percula",1979,0.9,127.7
"Amphiprion percula",1978,1,127.9
"Amphiprion percula",2000,-2.44,140.49
"Amphiprion percula",1907,-8.07,144.07
"Amphiprion percula",1907,-8.07,144.07
"Amphiprion percula",1907,-8.07,144.07
"Amphiprion percula",1907,-8.07,144.07
"Amphiprion percula",1907,-8.07,144.07
"Amphiprion percula",NA,-9.9,144.1
"Amphiprion percula",NA,-9.9,144.1
"Amphiprion percula",NA,-9.9,144.1
"Amphiprion percula",NA,-9.9,144.1
"Amphiprion percula",NA,-9.9,144.1
"Amphiprion percula",1916,-14.98,145.45
"Amphiprion percula",1918,-14.25,145.45
"Amphiprion percula",1910,-14.33,145.48
"Amphiprion percula",NA,-15.8,145.5
"Amphiprion percula",NA,-15.7,145.5
"Amphiprion percula",NA,-15,145.5
"Amphiprion percula",NA,-14.6,145.6
"Amphiprion percula",1923,-13.42,145.62
"Amphiprion percula",1969,-15.75,145.7
"Amphiprion percula",1969,-15.75,145.7
"Amphiprion percula",NA,-5.2,145.8
"Amphiprion percula",NA,-5.2,145.8
"Amphiprion percula",NA,-5.2,145.8
"Amphiprion percula",1901,-15.23,145.97
"Amphiprion percula",NA,-16.8,146
"Amphiprion percula",2006,-16.7,146.05
"Amphiprion percula",2006,-16.7,146.05
"Amphiprion percula",2006,-16.7,146.05
"Amphiprion percula",2006,-16.7,146.05
"Amphiprion percula",2006,-16.7,146.05
"Amphiprion percula",2006,-16.7,146.05
"Amphiprion percula",2006,-16.7,146.05
"Amphiprion percula",2006,-16.7,146.05
"Amphiprion percula",1926,-15.3,146.17
"Amphiprion percula",1926,-15.3,146.17
"Amphiprion percula",NA,-16.7,146.2
"Amphiprion percula",NA,-16.7,146.2
"Amphiprion percula",2005,-17.47,146.4
"Amphiprion percula",2005,-17.8,146.53
"Amphiprion percula",2000,-18.4,147.46
"Amphiprion percula",1994,-5.17,150.37
"Amphiprion percula",NA,-9.5,150.5
"Amphiprion percula",1953,-10.6,150.65
"Amphiprion percula",NA,-8.5,151.1
"Amphiprion percula",NA,-23.5,151.7
"Amphiprion percula",1912,-22.47,151.73
"Amphiprion percula",NA,-3.83,152
"Amphiprion percula",NA,-3.83,152
"Amphiprion percula",NA,-3.83,152
"Amphiprion percula",NA,-3.83,152
"Amphiprion percula",1965,-4.23,152.17
"Amphiprion percula",1965,-4.2,152.4
"Amphiprion percula",1965,-4.2,152.4
"Amphiprion percula",1965,-4.2,152.4
"Amphiprion percula",NA,-4.2,152.5
"Amphiprion percula",NA,-4.2,152.5
"Amphiprion percula",NA,-6,155
"Amphiprion percula",NA,-6,155
"Amphiprion percula",NA,-6,155
"Amphiprion percula",NA,-6,155
