date,location,species,batch_id,dph,stand_dph,speed,time_sec,dist_cm,TL,SL,BD,PA
2014/07/14,Boston University Lab,Elacatinus lori,46,0,0,2,9,18,nd,nd,nd,nd
2014/07/14,Boston University Lab,Elacatinus lori,46,0,0,4,5,20,nd,nd,nd,nd
2014/07/14,Boston University Lab,Elacatinus lori,46,0,0,6,2,12,nd,nd,nd,nd
2014/07/14,Boston University Lab,Elacatinus lori,46,0,0,8,35,280,nd,nd,nd,nd
2014/07/14,Boston University Lab,Elacatinus lori,46,0,0,10,9,90,nd,nd,nd,nd
2014/07/15,Boston University Lab,Elacatinus lori,198,0,0,2,47,94,3.54,3.36,0.48,0.94
2014/07/15,Boston University Lab,Elacatinus lori,198,0,0,4,60,240,3.25,3.09,0.47,nd
2014/07/15,Boston University Lab,Elacatinus lori,198,0,0,6,4,24,3.64,3.47,0.52,1.04
2014/07/15,Boston University Lab,Elacatinus lori,198,0,0,8,0,0,nd,nd,nd,nd
2014/07/15,Boston University Lab,Elacatinus lori,198,0,0,10,1,10,nd,nd,nd,nd
2014/07/20,Boston University Lab,Elacatinus colini,70,0,0,2,1955,3910,nd,nd,nd,nd
2014/07/20,Boston University Lab,Elacatinus colini,70,0,0,4,430,1720,nd,nd,nd,nd
2014/07/20,Boston University Lab,Elacatinus colini,70,0,0,6,0,0,nd,nd,nd,nd
2014/07/20,Boston University Lab,Elacatinus colini,70,0,0,8,114,912,nd,nd,nd,nd
2014/07/20,Boston University Lab,Elacatinus colini,70,0,0,10,0,0,nd,nd,nd,nd
2014/07/24,Boston University Lab,Elacatinus lori,46,10,0.33,2,224,448,nd,nd,nd,nd
2014/07/24,Boston University Lab,Elacatinus lori,46,10,0.33,4,228,912,nd,nd,nd,nd
2014/07/24,Boston University Lab,Elacatinus lori,46,10,0.33,6,130,780,nd,nd,nd,nd
2014/07/24,Boston University Lab,Elacatinus lori,46,10,0.33,8,123,984,nd,nd,nd,nd
2014/07/24,Boston University Lab,Elacatinus lori,46,10,0.33,10,0,0,nd,nd,nd,nd
2014/07/28,Boston University Lab,Elacatinus colini,78,0,0,4,128,512,nd,nd,nd,nd
2014/07/28,Boston University Lab,Elacatinus colini,78,0,0,6,135,810,nd,nd,nd,nd
2014/07/28,Boston University Lab,Elacatinus colini,78,0,0,8,124,992,nd,nd,nd,nd
2014/07/28,Boston University Lab,Elacatinus colini,78,0,0,10,0,0,nd,nd,nd,nd
2014/07/30,Boston University Lab,Elacatinus colini,70,10,0.33,2,272,544,nd,nd,nd,nd
2014/07/30,Boston University Lab,Elacatinus colini,70,10,0.33,4,47,188,5.6,5.08,0.72,2.65
2014/07/30,Boston University Lab,Elacatinus colini,70,10,0.33,6,50,300,4.85,4.6,0.59,1.91
2014/07/30,Boston University Lab,Elacatinus colini,70,10,0.33,8,0,0,nd,nd,nd,nd
2014/07/30,Boston University Lab,Elacatinus colini,70,10,0.33,10,20,200,nd,nd,nd,nd
2014/08/01,Boston University Lab,Elacatinus colini,68,0,0,2,1621,3242,nd,nd,nd,nd
2014/08/01,Boston University Lab,Elacatinus colini,68,0,0,4,0,0,nd,nd,nd,nd
2014/08/01,Boston University Lab,Elacatinus colini,68,0,0,6,21,126,nd,nd,nd,nd
2014/08/01,Boston University Lab,Elacatinus colini,68,0,0,8,13,104,nd,nd,nd,nd
2014/08/01,Boston University Lab,Elacatinus colini,68,0,0,10,1,10,nd,nd,nd,nd
2014/08/03,Boston University Lab,Elacatinus colini,204,0,0,2,62,124,nd,nd,nd,nd
2014/08/03,Boston University Lab,Elacatinus colini,204,0,0,4,12,48,nd,nd,nd,nd
2014/08/03,Boston University Lab,Elacatinus colini,204,0,0,6,31,186,nd,nd,nd,nd
2014/08/03,Boston University Lab,Elacatinus colini,204,0,0,8,0,0,nd,nd,nd,nd
2014/08/03,Boston University Lab,Elacatinus colini,204,0,0,10,0,0,nd,nd,nd,nd
2014/08/07,Boston University Lab,Elacatinus colini,78,10,0.33,2,289,578,nd,nd,nd,nd
2014/08/07,Boston University Lab,Elacatinus colini,78,10,0.33,4,128,512,nd,nd,nd,nd
2014/08/07,Boston University Lab,Elacatinus colini,78,10,0.33,6,8,48,nd,nd,nd,nd
2014/08/07,Boston University Lab,Elacatinus colini,78,10,0.33,8,2,16,nd,nd,nd,nd
2014/08/07,Boston University Lab,Elacatinus colini,78,10,0.33,10,1,10,nd,nd,nd,nd
2014/08/09,Boston University Lab,Elacatinus colini,60,0,0,2,22,44,nd,nd,nd,nd
2014/08/09,Boston University Lab,Elacatinus colini,60,0,0,4,0,0,nd,nd,nd,nd
2014/08/09,Boston University Lab,Elacatinus colini,60,0,0,6,4,24,nd,nd,nd,nd
2014/08/09,Boston University Lab,Elacatinus colini,60,0,0,8,0,0,nd,nd,nd,nd
2014/08/09,Boston University Lab,Elacatinus colini,60,0,0,10,0,0,nd,nd,nd,nd
2014/08/11,Boston University Lab,Elacatinus colini,68,10,0.33,2,3320,6640,4.71,4.39,0.64,1.88
2014/08/11,Boston University Lab,Elacatinus colini,68,10,0.33,4,75,300,nd,nd,nd,nd
2014/08/11,Boston University Lab,Elacatinus colini,68,10,0.33,6,60,360,nd,nd,nd,nd
2014/08/11,Boston University Lab,Elacatinus colini,68,10,0.33,8,152,1216,4.71,4.33,0.54,1.78
2014/08/11,Boston University Lab,Elacatinus colini,68,10,0.33,10,15,150,5.54,5.03,0.69,2.48
2014/08/17,Boston University Lab,Elacatinus colini,78,20,0.67,2,1527,3054,nd,nd,nd,nd
2014/08/17,Boston University Lab,Elacatinus colini,78,20,0.67,4,73,292,nd,nd,nd,nd
2014/08/17,Boston University Lab,Elacatinus colini,78,20,0.67,6,420,2520,nd,nd,nd,nd
